id,gender,smoking,smoking_pref,allergy,sleep_time,wake_time,cleaning,temperature,noise_tolerance,study_place,mbti_ei,w_smoking,w_allergy,w_sleep,w_wake,w_cleaning,w_temp,w_noise,w_study,w_mbti
56,M,N,N,food,26,10,4,21,5,library,E,7,6,7,7,7,8,7,6,6
57,M,Y,N,none,25,9,1,22,3,mixed,I,3,2,8,8,5,6,4,2,3
58,M,N,X,none,26,7,1,25,1,room,E,4,5,5,8,1,6,5,6,6
59,M,N,X,dust,26,11,1,28,2,library,E,5,9,6,9,4,2,8,6,3
60,M,N,N,none,23,6,7,19,1,room,E,5,3,7,7,9,5,7,2,4
61,M,N,X,food,25,11,0,23,2,library,I,2,8,2,7,6,10,5,4,3
62,M,N,N,dust,23,7,0,18,3,room,E,8,4,8,6,6,8,4,7,2
63,M,N,X,none,24,12,2,26,3,room,E,1,2,1,8,4,5,3,1,2
64,M,N,X,none,26,8,5,26,5,room,I,5,2,9,1,8,8,6,4,6
65,M,N,N,dust,27,8,1,25,4,room,E,5,3,3,7,6,7,5,5,5
66,M,N,X,food,25,9,1,28,5,mixed,E,4,5,4,5,5,5,2,4,3
67,M,N,N,none,26,8,1,19,1,library,E,7,3,8,6,6,6,5,1,4
68,M,N,X,none,28,8,5,19,5,mixed,E,2,6,6,8,5,6,3,3,5
69,M,N,X,pet,28,10,0,27,3,room,E,3,7,4,5,1,8,6,4,1
70,M,Y,X,none,26,7,6,25,3,room,I,3,6,5,9,6,9,3,7,5
71,M,Y,X,none,25,8,7,24,3,room,E,3,4,3,7,6,6,4,2,4
72,M,N,N,none,24,11,2,22,3,library,E,1,6,5,3,6,4,6,6,3
73,M,Y,X,dust,22,11,5,27,4,mixed,I,4,4,5,10,3,9,5,6,3
74,M,Y,X,none,25,8,1,24,3,mixed,I,2,3,8,2,7,6,3,7,3
75,M,N,N,none,23,7,2,27,2,mixed,E,3,6,6,7,8,5,9,5,6
76,M,N,X,none,27,9,2,25,1,library,I,3,3,6,5,2,5,1,3,3
77,M,Y,X,food,25,8,0,25,5,mixed,E,3,6,6,10,5,8,8,6,1
78,M,N,N,none,24,8,7,26,5,mixed,E,5,3,5,8,7,2,7,3,1
79,M,N,X,dust,24,9,2,23,1,mixed,E,3,4,7,7,3,7,2,5,4
80,M,N,N,none,26,10,1,28,4,mixed,I,1,3,3,4,9,6,4,2,2
81,M,Y,X,pet,26,10,0,28,3,mixed,E,5,5,3,8,8,8,3,4,1
82,M,N,N,dust,25,9,7,21,5,room,I,10,8,9,3,7,6,5,7,3
83,M,N,X,pet,25,7,3,27,2,library,E,4,8,6,2,8,8,4,7,2
84,M,N,X,none,26,6,3,25,3,room,I,1,4,6,4,10,5,1,1,6
85,M,N,N,none,22,10,7,20,4,library,E,9,1,4,8,6,7,6,1,3
86,M,N,N,none,24,9,7,19,1,library,E,7,5,4,3,5,6,4,4,2
87,M,N,N,pet,28,6,0,24,4,room,I,10,4,1,8,5,7,7,7,5
88,M,N,N,none,23,8,2,28,4,mixed,I,7,2,2,8,5,4,1,2,1
89,M,N,N,pet,25,10,7,22,1,mixed,E,4,8,2,7,4,8,5,4,6
90,M,N,X,none,28,8,7,23,5,library,E,4,1,5,10,3,4,2,3,6
91,M,N,X,food,26,7,7,23,4,room,I,5,10,4,10,9,2,7,3,5
92,M,N,N,none,23,8,7,18,2,room,E,8,3,5,9,1,3,5,3,3
93,M,N,N,food,23,7,5,28,3,room,E,1,3,6,9,3,8,7,2,5
94,M,N,X,none,23,10,7,20,4,room,I,3,6,2,6,9,8,7,6,6
95,M,N,N,pet,24,12,2,21,4,room,I,6,5,8,6,6,2,4,6,6
96,M,N,X,dust,26,6,5,28,1,library,I,5,5,8,8,7,3,10,4,5
97,M,N,N,none,25,7,2,23,2,library,I,8,3,3,10,4,7,6,1,5
98,M,N,X,food,23,9,5,27,1,room,E,1,9,8,4,4,6,6,1,4
99,M,N,X,none,26,7,3,28,4,library,I,1,6,2,5,6,4,6,3,6
100,M,N,N,dust,23,8,1,23,2,library,E,4,4,2,4,5,6,4,7,2
